,Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Maps,Latitude,Longitude,UPN
364,https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kost-56-tipe-e-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost 56 Tipe E Sukolilo Surabaya,Sukolilo,600000,Putra,Termasuk listrik,8.1,No,No,Yes,Yes,Yes,2.7,3.0,"https://maps.google.com/maps?z=7&q=-7.291861,112.795329",-7.291861,112.795329,4.6101616424662595
365,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-house-of-hanna-orchids-tipe-b-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost House of Hanna Orchids Tipe B Sukolilo Surabaya,Sukolilo,1250000,Putri,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,No,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.295843,112.801836",-7.295843,112.801836,4.358472875484672
366,https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-like-tipe-b-mulyorejo-surabaya?redirection_source=list%20kos%20result,Kost Like Tipe B Mulyorejo Surabaya,Mulyorejo,1500000,Campur,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.2680718,112.7750955",-7.2680718,112.7750955,7.34880020420515
367,https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kost-hj-maimunah-tipe-vvip-mulyorejo-surabaya-2?redirection_source=list%20kos%20result,Kost Hj Maimunah Tipe VVIP Mulyorejo Surabaya,Mulyorejo,600000,Putra,Termasuk listrik,12.0,No,No,No,No,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.282772,112.802585",-7.282772,112.802585,5.770343009577423
368,https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-its-ibu-isni-tipe-b-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost ITS Ibu Isni Tipe B Sukolilo Surabaya,Sukolilo,1000000,Putra,Tidak termasuk listrik,9.0,No,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.286627,112.795027",-7.286627,112.795027,5.180817119079589
369,https://mamikos.com/room/kost-surabaya-kost-putra-murah-kost-ibu-par-tipe-standart-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost Ibu Par Tipe Standart Sukolilo Surabaya,Sukolilo,650000,Putra,Termasuk listrik,4.0,No,No,Yes,Yes,Yes,2.0,2.0,"https://maps.google.com/maps?z=7&q=-7.2888456250647,112.77327820659",-7.2888456250647,112.77327820659,5.170640586459737
370,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-rumahkoe-tipe-b-besar-mulyorejo-surabaya-2?redirection_source=list%20kos%20result,Kost RumahKoe Tipe B Besar Mulyorejo Surabaya,Mulyorejo,2500000,Putri,Tidak termasuk listrik,20.0,Yes,Yes,Yes,Yes,Yes,4.0,5.0,"https://maps.google.com/maps?z=7&q=-7.268031,112.789701",-7.268031,112.789701,7.201229193135724
371,https://mamikos.com/room/kost-surabaya-kost-putra-murah-kos-putra-sukolilo-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost Semolowaru Utara 114 Sukolilo Surabaya,Sukolilo,600000,Putra,Tidak termasuk listrik,9.0,No,No,Yes,No,No,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.298827,112.779402",-7.298827,112.779402,3.91049371952512
372,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-its-g-01-tipe-c-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Its G 01 Tipe C Sukolilo Surabaya,Sukolilo,750000,Putri,Termasuk listrik,6.25,No,No,Yes,Yes,Yes,2.5,2.5,"https://maps.google.com/maps?z=7&q=-7.288391,112.795318",-7.288391,112.795318,4.991217124718007
373,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-its-g-01-tipe-d-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Its G 01 Tipe D Sukolilo Surabaya,Sukolilo,700000,Putri,Termasuk listrik,6.25,No,No,Yes,Yes,Yes,2.5,2.5,"https://maps.google.com/maps?z=7&q=-7.288391,112.795318",-7.288391,112.795318,4.991217124718007
374,https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kos-syaifullah-tipe-a-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost Syaifullah Tipe A Sukolilo Surabaya,Sukolilo,800000,Putra,Termasuk listrik,16.0,No,No,No,Yes,Yes,4.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3313233822521,112.72364392884",-7.3313233822521,112.72364392884,7.168277569965988
375,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-cahaya-tipe-b-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Cahaya Tipe B Gayungan Surabaya,Gayungan,2065000,Putri,Termasuk listrik,12.25,No,Yes,Yes,Yes,No,3.5,3.5,"https://maps.google.com/maps?z=7&q=-7.3313233822521,112.72364392884",-7.3313233822521,112.72364392884,7.168277569965988
376,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-cahaya-tipe-a-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Cahaya Tipe A Gayungan Surabaya,Gayungan,1825000,Putri,Termasuk listrik,12.25,No,Yes,Yes,Yes,No,3.5,3.5,"https://maps.google.com/maps?z=7&q=-7.3313233822521,112.72364392884",-7.3313233822521,112.72364392884,7.168277569965988
377,https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-singgahsini-demsey-tipe-a-margorejo-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Demsey Tipe A Margorejo Surabaya,Wonocolo,2350000,Campur,Tidak termasuk listrik,25.0,Yes,Yes,Yes,Yes,Yes,5.0,5.0,"https://maps.google.com/maps?z=7&q=-7.3166591,112.7432393",-7.3166591,112.7432393,5.316893854151395
378,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-singgahsini-gakesa-1210-tipe-a-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Gakesa 1210 Tipe A Gayungan Surabaya,Gayungan,2071000,Campur,Tidak termasuk listrik,20.0,Yes,Yes,Yes,Yes,Yes,4.0,5.0,"https://maps.google.com/maps?z=7&q=-7.324555,112.72267",-7.324555,112.72267,7.331234666241756
379,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-singgahsini-gakesa-1210-tipe-b-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Gakesa 1210 Tipe B Gayungan Surabaya,Gayungan,1885000,Campur,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.324555,112.72267",-7.324555,112.72267,7.331234666241756
