Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Maps
https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-upn-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Upn Gunung Anyar Surabaya,Gunung Anyar,1200000,Putra,Tidak termasuk listrik,9.0,No,Yes,No,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3393819603351,112.78727464378"
https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-yellow-tipe-a-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Yellow Tipe A Gunung Anyar Surabaya,Gunung Anyar,1550000,Putri,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3340149072214,112.78446067125"
https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-hub-ii-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Hub II Rungkut Surabaya,Rungkut,1100000,Putra,Tidak termasuk listrik,12.0,No,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3277512682483,112.79331564903"
https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-hub-iii-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Hub III Rungkut Surabaya,Rungkut,1000000,Putra,Tidak termasuk listrik,12.0,No,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.324330770757,112.78475269675"
https://mamikos.com/room/kost-surabaya-kost-putra-murah-kost-amanah-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Amanah Gunung Anyar Surabaya,Gunung Anyar,800000,Putra,Termasuk listrik,9.0,Yes,No,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.345286,112.807011"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-mahasiswi-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Mahasiswi Rungkut Surabaya,Rungkut,800000,Putri,Termasuk listrik,12.0,No,No,Yes,Yes,No,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3332719,112.7943625"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-narita-tipe-c-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Narita Tipe C Rungkut Surabaya,Rungkut,1500000,Putri,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.331475,112.79953"
https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-halo-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Halo Rungkut Surabaya,Rungkut,1800000,Putri,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.330271,112.785793"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-harmasy-tipe-a-gunung-anyar-surabaya-2?redirection_source=list%20kos%20result,Kost Harmasy Tipe A Gunung Anyar Surabaya,Gunung Anyar,900000,Putri,Termasuk listrik,9.0,Yes,No,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.332145,112.781799"
https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-yellow-tipe-c-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Yellow Tipe C Gunung Anyar Surabaya,Gunung Anyar,2000000,Putri,Tidak termasuk listrik,16.0,Yes,Yes,Yes,Yes,Yes,4.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3340149072214,112.78446067125"
https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-happy-home-poltek-pelayaran-gunung-anyar-surabaya-1?redirection_source=list%20kos%20result,Kost Happy Home Poltek Pelayaran Gunung Anyar Surabaya,Gunung Anyar,1800000,Putra,Tidak termasuk listrik,9.0,No,Yes,No,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3429211287854,112.793542059"
https://mamikos.com/room/kost-kabupaten-sidoarjo-kost-putri-murah-kost-amanah-i-tipe-single-waru-sidoarjo-2?redirection_source=list%20kos%20result,Kost Amanah I Tipe Single Waru Sidoarjo,Waru,650000,Putri,Termasuk listrik,6.0,Yes,No,Yes,Yes,Yes,2.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3466862,112.8002328"
https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-the-harvest-tipe-vip-rungkut-surabaya?redirection_source=list%20kos%20result,Kost The Harvest Tipe VIP Rungkut Surabaya,Rungkut,1800000,Campur,Tidak termasuk listrik,20.0,Yes,Yes,Yes,Yes,Yes,4.0,5.0,"https://maps.google.com/maps?z=7&q=-7.3249899,112.7949193"
https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-q9-tipe-a-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Q9 Tipe A Gunung Anyar Surabaya,Gunung Anyar,1300000,Putri,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,No,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3391382163894,112.77416266501"
https://mamikos.com/room/kost-surabaya-kost-putri-murah-kost-putri-wiguna-selatan-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Putri Wiguna Selatan Gunung Anyar Surabaya,Gunung Anyar,750000,Putri,Termasuk listrik,9.0,No,No,No,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3393813,112.8013924"
https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-ivorya-vip-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Ivorya VIP Rungkut Surabaya,Rungkut,1900000,Campur,Tidak termasuk listrik,11.2,No,Yes,Yes,Yes,Yes,3.2,3.5,"https://maps.google.com/maps?z=7&q=-7.326304,112.792629"
https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-eksklusif-penjaringan-sari-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Eksklusif Penjaringan Sari Rungkut Surabaya,Rungkut,2200000,Putri,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3217933,112.7897665"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-nashabil-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Nashabil Rungkut Surabaya,Rungkut,1300000,Putri,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,No,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3259954649211,112.77932524681"
https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-yellow-tipe-d-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Yellow Tipe D Gunung Anyar Surabaya,Gunung Anyar,2500000,Putri,Tidak termasuk listrik,20.0,Yes,Yes,Yes,Yes,Yes,5.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3340149072214,112.78446067125"
https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-ivorya-tipe-room-avanthi-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Ivorya Tipe Room Avanthi Rungkut Surabaya,Rungkut,2800000,Campur,Tidak termasuk listrik,17.39,No,Yes,Yes,Yes,Yes,3.7,4.7,"https://maps.google.com/maps?z=7&q=-7.326304,112.792629"
https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-ivorya-executive-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Ivorya Executive Rungkut Surabaya,Rungkut,2700000,Campur,Tidak termasuk listrik,16.65,No,Yes,Yes,Yes,Yes,3.7,4.5,"https://maps.google.com/maps?z=7&q=-7.326304,112.792629"
https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-ivorya-tipe-superior-b-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Ivorya Tipe Superior B Rungkut Surabaya,Rungkut,1350000,Campur,Termasuk listrik,9.9,No,No,Yes,Yes,Yes,2.2,4.5,"https://maps.google.com/maps?z=7&q=-7.326304,112.792629"
https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kost-barokah-gunung-anyar-surabaya-2?redirection_source=list%20kos%20result,Kost Barokah Gunung Anyar Surabaya,Gunung Anyar,500000,Putra,Termasuk listrik,9.0,Yes,No,Yes,Yes,No,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.338972,112.795854"
https://mamikos.com/room/kost-surabaya-kost-putra-murah-kost-yaman-tipe-a-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Yaman Tipe A Gunung Anyar Surabaya,Gunung Anyar,600000,Putra,Termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3376567956752,112.79595963657"
https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-jalan-medokan-sawah-baru-rungkut-surabaya-1?redirection_source=list%20kos%20result,Kost Jalan Medokan Sawah Baru Rungkut Surabaya,Rungkut,1250000,Campur,Tidak termasuk listrik,20.0,Yes,Yes,No,Yes,Yes,4.0,5.0,"https://maps.google.com/maps?z=7&q=-7.329996,112.801391"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-medokan-asri-barat-lll-19-rungkut-surabaya-1?redirection_source=list%20kos%20result,Kost Medokan Asri Barat lll 19 Rungkut Surabaya,Rungkut,1400000,Putri,Tidak termasuk listrik,9.0,No,Yes,Yes,Yes,No,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3306430080394,112.78970438987"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-medayu-selatan-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Medayu Selatan Rungkut Surabaya,Rungkut,800000,Putri,Tidak termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.332018,112.795969"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-daninzia-house-tipe-single-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Daninzia House Tipe Single Gunung Anyar Surabaya,Gunung Anyar,1400000,Putri,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3356895411502,112.80016064644"
